"X" "Y" "Diameter" "Observer" "Image"
1201.2 -1374.48 18.4504 "Antonenko1" "NAC"
2812.4 -64.1961 18.4639 "Antonenko1" "NAC"
1791.49 -323.018 18.5194 "Antonenko1" "NAC"
3489.78 -1730.36 18.5496 "Antonenko1" "NAC"
1312.48 -1633.31 18.5967 "Antonenko1" "NAC"
3426.88 -2113.21 18.6051 "Antonenko1" "NAC"
2831.75 -959.29 18.6135 "Antonenko1" "NAC"
3393.01 -1573.99 18.6623 "Antonenko1" "NAC"
3809.12 -1757.32 18.6943 "Antonenko1" "NAC"
3480.1 -1449.97 18.7111 "Antonenko1" "NAC"
3509.14 -1919.09 18.7128 "Antonenko1" "NAC"
2836.59 -1007.82 18.7414 "Antonenko1" "NAC"
3117.22 -1687.23 18.7414 "Antonenko1" "NAC"
2038.25 -1471.54 18.7918 "Antonenko1" "NAC"
2551.12 -53.4118 18.8002 "Antonenko1" "NAC"
3126.9 -166.647 18.8221 "Antonenko1" "NAC"
1767.3 -1951.44 18.8978 "Antonenko1" "NAC"
3184.96 -1913.7 18.9146 "Antonenko1" "NAC"
1365.71 -1617.13 18.9751 "Antonenko1" "NAC"
1080.24 -549.488 18.9987 "Antonenko1" "NAC"
3272.05 -15.6669 19.0239 "Antonenko1" "NAC"
3368.82 -1218.11 19.0357 "Antonenko1" "NAC"
1849.55 -339.195 19.0558 "Antonenko1" "NAC"
1051.21 -2167.13 19.1063 "Antonenko1" "NAC"
1046.37 -479.39 19.1433 "Antonenko1" "NAC"
1215.71 -1892.13 19.1467 "Antonenko1" "NAC"
3436.56 -1255.86 19.1618 "Antonenko1" "NAC"
325.44 -1908.3 19.1938 "Antonenko1" "NAC"
2996.26 -1627.91 19.2038 "Antonenko1" "NAC"
4026.85 -1795.07 19.2123 "Antonenko1" "NAC"
2493.06 -695.075 19.224 "Antonenko1" "NAC"
2628.54 -1573.99 19.2307 "Antonenko1" "NAC"
2057.6 -161.254 19.2375 "Antonenko1" "NAC"
1235.07 -1692.62 19.256 "Antonenko1" "NAC"
2759.18 -139.686 19.261 "Antonenko1" "NAC"
1718.91 -1962.23 19.2896 "Antonenko1" "NAC"
2551.12 -1417.62 19.3064 "Antonenko1" "NAC"
2212.43 -398.508 19.3148 "Antonenko1" "NAC"
1036.69 -1266.64 19.3653 "Antonenko1" "NAC"
3484.94 -1315.17 19.3888 "Antonenko1" "NAC"
3223.67 -1406.84 19.409 "Antonenko1" "NAC"
2715.63 -1449.97 19.4174 "Antonenko1" "NAC"
1670.53 -1369.09 19.4309 "Antonenko1" "NAC"
3891.37 -1843.6 19.4376 "Antonenko1" "NAC"
2618.86 -155.862 19.4494 "Antonenko1" "NAC"
310.925 -2043.11 19.4527 "Antonenko1" "NAC"
3794.6 -910.76 19.4729 "Antonenko1" "NAC"
1356.03 -1466.15 19.4813 "Antonenko1" "NAC"
1268.94 -1627.91 19.5183 "Antonenko1" "NAC"
581.877 -441.645 19.5234 "Antonenko1" "NAC"
3393.01 -1698.01 19.5402 "Antonenko1" "NAC"
1747.94 -1805.85 19.5688 "Antonenko1" "NAC"
2865.62 -1595.56 19.5755 "Antonenko1" "NAC"
339.955 -975.466 19.631 "Antonenko1" "NAC"
3349.47 -905.368 19.6512 "Antonenko1" "NAC"
3252.7 -312.234 19.6579 "Antonenko1" "NAC"
2260.82 -473.998 19.6663 "Antonenko1" "NAC"
2464.03 -781.349 19.6899 "Antonenko1" "NAC"
804.446 -312.234 19.6949 "Antonenko1" "NAC"
1210.88 -630.37 19.7067 "Antonenko1" "NAC"
1888.26 -2113.21 19.7168 "Antonenko1" "NAC"
102.872 -808.31 19.7235 "Antonenko1" "NAC"
1936.64 -91.1567 19.7386 "Antonenko1" "NAC"
1612.47 -182.823 19.7538 "Antonenko1" "NAC"
3368.82 -587.233 19.7605 "Antonenko1" "NAC"
1157.65 -619.585 19.7824 "Antonenko1" "NAC"
3286.57 -1509.29 19.8278 "Antonenko1" "NAC"
281.894 -748.996 19.8278 "Antonenko1" "NAC"
